frames, LHipRoll, LHipPitch, LKneePitch, LAnkleRoll, LAnklePitch, RHipRoll, RHipPitch, RKneePitch, RAnkleRoll, RAnklePitch, HeadPitch, HeadYaw, LHipYawPitch, LElbowRoll, RElbowRoll, LWristYaw, RWristYaw, LShoulderRoll, LShoulderPitch, LElbowYaw, RShoulderRoll, RShoulderPitch, RElbowYaw
3, 0.190171, -0.2479, 0.260585, -0.096413, 0.0378031, -0.192444, -0.0538549, 0.298071, -0.0308126, -0.258066, -0.00496862, 0.157339, 0.00269496, -0.54112, 0.523894, -0.465732, 0.276301, 0.00953779, 0.233719, -0.0808276, 0.0606165, 0.649873, 0.0707579
3.00834, 0.177169, -0.238878, 0.246835, -0.0969324, 0.0381168, -0.20666, -0.0612687, 0.310253, -0.0322633, -0.263447, -8.17191e-05, 0.156381, -0.00139504, -0.549639, 0.534191, -0.461558, 0.275504, 0.00624454, 0.235129, -0.0832723, 0.0679511, 0.652113, 0.073622
3.01668, 0.177871, -0.239969, 0.24891, -0.0945593, 0.0307986, -0.206195, -0.0587715, 0.30729, -0.0323795, -0.263683, 0.00490431, 0.154769, -0.00248744, -0.558214, 0.544208, -0.466314, 0.277724, 0.000242388, 0.245611, -0.0857093, 0.0783431, 0.653833, 0.0765304
3.02501, 0.190745, -0.240403, 0.244344, -0.0941481, 0.0248467, -0.194339, -0.0600491, 0.310189, -0.0329377, -0.264662, 0.00791591, 0.154723, -0.00553618, -0.566728, 0.557315, -0.473859, 0.284056, -0.0058552, 0.259752, -0.0882554, 0.0868909, 0.65745, 0.0803564
3.03335, 0.193401, -0.241214, 0.245542, -0.0903564, 0.0128769, -0.193488, -0.0607083, 0.30888, -0.0298758, -0.256146, 0.0121761, 0.153148, -0.00642037, -0.578882, 0.571534, -0.47936, 0.289606, -0.0120302, 0.271484, -0.0919448, 0.096378, 0.66426, 0.0845945
3.04169, 0.187993, -0.238348, 0.246383, -0.0867584, 0.00374844, -0.200151, -0.0597143, 0.308632, -0.0273608, -0.249573, 0.0130419, 0.151336, -0.00617323, -0.595581, 0.584394, -0.486292, 0.292414, -0.0185403, 0.279965, -0.097082, 0.109146, 0.671967, 0.0885774
3.05003, 0.187502, -0.235294, 0.242561, -0.091594, 0.0149205, -0.200656, -0.0602734, 0.312732, -0.0282742, -0.252525, 0.00483659, 0.153565, -0.00837409, -0.612605, 0.599042, -0.493483, 0.29706, -0.0246341, 0.286333, -0.102586, 0.119273, 0.675694, 0.093228
3.05836, 0.185546, -0.234029, 0.240423, -0.0971866, 0.0287513, -0.202115, -0.0619152, 0.315575, -0.0293941, -0.255722, 0.00557338, 0.155367, -0.00791332, -0.62724, 0.614363, -0.501944, 0.305982, -0.0306747, 0.29605, -0.107448, 0.128285, 0.680467, 0.0981678
3.0667, 0.18099, -0.232925, 0.242011, -0.096489, 0.0263344, -0.206644, -0.0614679, 0.315685, -0.0303902, -0.258775, 0.0164733, 0.153032, -0.00440957, -0.639115, 0.629998, -0.514443, 0.318174, -0.0361861, 0.311454, -0.111415, 0.138057, 0.690557, 0.103317
3.07504, 0.182339, -0.232377, 0.241002, -0.0965708, 0.026089, -0.205706, -0.061204, 0.318071, -0.0314908, -0.262555, 0.0218232, 0.150463, -0.00618615, -0.653788, 0.645657, -0.524152, 0.32667, -0.0380857, 0.323038, -0.116452, 0.146815, 0.699085, 0.108621
3.08338, 0.186169, -0.231631, 0.237763, -0.099001, 0.0323214, -0.202325, -0.061333, 0.321811, -0.0318462, -0.263857, 0.0253975, 0.150317, -0.0131952, -0.67124, 0.661249, -0.527013, 0.334882, -0.0398124, 0.328928, -0.122586, 0.156063, 0.704492, 0.114046
3.09172, 0.179648, -0.228905, 0.235818, -0.0999499, 0.0337932, -0.209658, -0.0623077, 0.324328, -0.0314151, -0.26321, 0.0301589, 0.151316, -0.0174598, -0.685239, 0.678003, -0.526554, 0.345113, -0.0456735, 0.338255, -0.127611, 0.165752, 0.708717, 0.120062
3.10005, 0.172698, -0.226104, 0.232951, -0.0971489, 0.0237522, -0.217721, -0.0656354, 0.326982, -0.030057, -0.25955, 0.0261688, 0.153011, -0.0163907, -0.700149, 0.694426, -0.529926, 0.346935, -0.0490623, 0.350686, -0.133108, 0.173858, 0.710339, 0.126098
3.10839, 0.176398, -0.224144, 0.228708, -0.0920057, 0.00741269, -0.214744, -0.0671992, 0.329932, -0.0284693, -0.25446, 0.0129384, 0.156837, -0.0159724, -0.718028, 0.710506, -0.534863, 0.346629, -0.0493171, 0.359831, -0.139841, 0.180841, 0.712208, 0.132099
3.11673, 0.175009, -0.22221, 0.226655, -0.0930112, 0.00925545, -0.216758, -0.0661686, 0.331244, -0.0274425, -0.251957, 0.00682268, 0.159021, -0.0201572, -0.733775, 0.727834, -0.54167, 0.348759, -0.0540331, 0.370938, -0.145832, 0.188291, 0.714756, 0.138733
3.12507, 0.168816, -0.219524, 0.227457, -0.0989635, 0.0255415, -0.223663, -0.0637701, 0.330935, -0.0273401, -0.252778, 0.0082082, 0.157765, -0.0233961, -0.748247, 0.746861, -0.549826, 0.351448, -0.0637412, 0.384798, -0.15147, 0.197638, 0.714983, 0.146222
3.13341, 0.165632, -0.216339, 0.228628, -0.100631, 0.0309625, -0.227506, -0.0606978, 0.330982, -0.0275519, -0.254178, 0.00853813, 0.158798, -0.0244679, -0.761986, 0.765592, -0.556444, 0.356173, -0.0723833, 0.395926, -0.157046, 0.206055, 0.715, 0.153777
